"","Acarosporaceae","Baeomycetaceae","Caliciaceae","Candelariaceae","Chrysotrichaceae","Graphidaceae","Hymeneliaceae","Lecideaceae","Lichinaceae","Parmeliaceae","Peltigeraceae","Rhizocarpaceae","Sarrameanaceae","Strigulaceae","Teloschistaceae","Trypetheliaceae","Umbilicariaceae","Variolariaceae","Verrucariaceae"
"Acarosporaceae",0.527777777777778,NA,0.116666666666667,NA,NA,NA,0.09,0.0155555555555556,0.124444444444444,NA,NA,0.08,NA,NA,0.0144444444444444,NA,NA,0.00111111111111111,0.03
"Baeomycetaceae",0.00388888888888889,0.857777777777778,0.000555555555555556,NA,NA,0.00444444444444444,0.035,NA,0.025,NA,NA,0.00444444444444444,0.0466666666666667,0.00111111111111111,0.00611111111111111,0.00333333333333333,NA,0.00833333333333333,0.00333333333333333
"Caliciaceae",0.00722222222222222,NA,0.942222222222222,NA,NA,NA,0.00166666666666667,0.0133333333333333,NA,NA,NA,0.0222222222222222,NA,NA,NA,NA,NA,NA,0.0133333333333333
"Candelariaceae",0.00111111111111111,NA,NA,0.961111111111111,NA,NA,NA,NA,0.00111111111111111,NA,NA,0.0183333333333333,NA,NA,NA,NA,NA,0.0183333333333333,NA
"Chrysotrichaceae",NA,NA,NA,0.006,0.954666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0386666666666667,NA,NA,NA,0.000666666666666667,NA
"Graphidaceae",NA,NA,NA,NA,NA,0.941538461538462,NA,NA,NA,NA,NA,NA,NA,0.0584615384615385,NA,NA,NA,NA,NA
"Hymeneliaceae",0.0726666666666667,0.00866666666666667,NA,NA,NA,NA,0.806,NA,0.0426666666666667,0.004,NA,0.0453333333333333,NA,NA,0.00733333333333333,NA,NA,0.00333333333333333,0.01
"Lecideaceae",0.00153846153846154,NA,NA,NA,NA,NA,NA,0.987692307692308,0.00769230769230769,NA,NA,0.000769230769230769,NA,NA,0.00230769230769231,NA,NA,NA,NA
"Lichinaceae",0.0157142857142857,NA,NA,NA,NA,NA,NA,NA,0.984285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parmeliaceae",0.000810810810810811,NA,0.00027027027027027,0.00027027027027027,NA,0.00121621621621622,0.00027027027027027,NA,0.000135135135135135,0.992837837837838,0.000135135135135135,0.000810810810810811,0.00148648648648649,NA,NA,NA,0.000675675675675676,0.000945945945945946,0.000135135135135135
"Peltigeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA,NA,NA,NA,5e-04,NA,5e-04
"Rhizocarpaceae",NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,0.984375,NA,NA,NA,NA,NA,NA,0.000625
"Sarrameanaceae",0.013125,NA,0.0025,0.001875,0.00375,NA,0.000625,0.004375,0.01875,NA,NA,0.003125,0.925625,0.004375,0.00125,NA,NA,0.019375,0.00125
"Strigulaceae",NA,NA,0.000714285714285714,NA,NA,0.000714285714285714,NA,NA,NA,NA,NA,NA,NA,0.977857142857143,NA,0.00785714285714286,NA,NA,0.0128571428571429
"Teloschistaceae",0.00222222222222222,NA,NA,NA,NA,NA,0.07,0.00222222222222222,NA,NA,NA,0.00111111111111111,0.000555555555555556,NA,0.861111111111111,0.00166666666666667,NA,NA,0.0611111111111111
"Trypetheliaceae",NA,NA,NA,NA,NA,0.00173913043478261,NA,NA,NA,NA,NA,NA,NA,0.000434782608695652,NA,0.997826086956522,NA,NA,NA
"Umbilicariaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Variolariaceae",0.0142105263157895,NA,NA,NA,NA,NA,NA,0.000526315789473684,0.00947368421052631,NA,NA,0.000526315789473684,0.00157894736842105,0.000526315789473684,0.00368421052631579,NA,NA,0.969473684210526,NA
"Verrucariaceae",0.00866666666666667,NA,0.00266666666666667,NA,NA,0.002,NA,0.00666666666666667,0.0186666666666667,NA,NA,0.0193333333333333,NA,NA,0.002,NA,NA,NA,0.94
