"","Acarosporaceae","Baeomycetaceae","Caliciaceae","Candelariaceae","Chrysotrichaceae","Graphidaceae","Hymeneliaceae","Lecideaceae","Lichinaceae","Parmeliaceae","Peltigeraceae","Rhizocarpaceae","Sarrameanaceae","Strigulaceae","Teloschistaceae","Trypetheliaceae","Umbilicariaceae","Variolariaceae","Verrucariaceae"
"Acarosporaceae",0.49,0.00333333333333333,0.126666666666667,NA,NA,NA,0.105555555555556,0.00666666666666667,0.124444444444444,NA,NA,0.11,NA,0.00111111111111111,0.00666666666666667,NA,NA,0.00111111111111111,0.0244444444444444
"Baeomycetaceae",0.00388888888888889,0.867777777777778,0.000555555555555556,NA,NA,0.00833333333333333,0.0283333333333333,NA,0.0177777777777778,NA,NA,0.00611111111111111,0.0433333333333333,0.00444444444444444,0.00555555555555556,0.00444444444444444,NA,0.00777777777777778,0.00166666666666667
"Caliciaceae",0.00944444444444444,NA,0.954444444444444,NA,NA,NA,0.000555555555555556,0.00888888888888889,NA,NA,NA,0.0211111111111111,NA,NA,NA,NA,NA,NA,0.00555555555555556
"Candelariaceae",0.000555555555555556,NA,NA,0.964444444444444,0.000555555555555556,NA,NA,0.000555555555555556,NA,NA,NA,0.0166666666666667,NA,0.00111111111111111,NA,0.000555555555555556,NA,0.0155555555555556,NA
"Chrysotrichaceae",NA,NA,NA,0.0153333333333333,0.942666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,NA,NA,NA
"Graphidaceae",NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,0.0592307692307692,NA,0.000769230769230769,NA,NA,NA
"Hymeneliaceae",0.072,0.006,NA,NA,NA,NA,0.801333333333333,0.000666666666666667,0.0493333333333333,0.00533333333333333,NA,0.028,NA,NA,0.014,NA,NA,0.00466666666666667,0.0186666666666667
"Lecideaceae",0.00461538461538461,NA,NA,NA,NA,NA,NA,0.984615384615385,0.00384615384615385,NA,NA,0.00307692307692308,NA,NA,0.00384615384615385,NA,NA,NA,NA
"Lichinaceae",0.0128571428571429,NA,NA,NA,NA,NA,0.00142857142857143,NA,0.981428571428571,NA,NA,NA,NA,0.00428571428571429,NA,NA,NA,NA,NA
"Parmeliaceae",0.000540540540540541,NA,NA,0.000540540540540541,NA,0.000810810810810811,NA,NA,0.000810810810810811,0.991891891891892,NA,0.00216216216216216,0.00121621621621622,NA,0.000405405405405405,NA,0.00121621621621622,0.00027027027027027,0.000135135135135135
"Peltigeraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999,NA,NA,NA,NA,NA,5e-04,NA,5e-04
"Rhizocarpaceae",NA,NA,NA,NA,NA,NA,0.00375,NA,NA,NA,NA,0.99625,NA,NA,NA,NA,NA,NA,NA
"Sarrameanaceae",0.006875,NA,0.0025,0.005625,0.005625,NA,NA,0.004375,0.011875,NA,NA,0.000625,0.9375,0.00375,0.00125,NA,NA,0.02,NA
"Strigulaceae",NA,NA,0.000714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985,NA,0.00928571428571429,NA,NA,0.005
"Teloschistaceae",0.00111111111111111,0.000555555555555556,NA,NA,NA,0.000555555555555556,0.0733333333333333,0.00111111111111111,NA,NA,NA,0.00222222222222222,NA,NA,0.846111111111111,0.00444444444444444,NA,NA,0.0705555555555556
"Trypetheliaceae",NA,NA,NA,NA,NA,0.000869565217391304,NA,NA,NA,NA,NA,NA,NA,0.00173913043478261,NA,0.997391304347826,NA,NA,NA
"Umbilicariaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000714285714285714,NA,0.999285714285714,NA,NA
"Variolariaceae",0.00947368421052631,NA,NA,NA,NA,NA,NA,NA,0.0110526315789474,NA,NA,NA,0.00315789473684211,NA,0.00421052631578947,NA,NA,0.972105263157895,NA
"Verrucariaceae",0.0133333333333333,NA,NA,NA,NA,0.00133333333333333,0.00666666666666667,0.0126666666666667,0.0166666666666667,NA,NA,0.022,NA,NA,0.00133333333333333,NA,NA,NA,0.926
