"","Acarosporales","Arthoniales","Baeomycetales","Candelariales","Lecanorales","Lecideales","Lichinales","Ostropales","Peltigerales","Pertusariales","Rhizocarpales","Strigulales","Teloschistales","Trypetheliales","Umbilicariales","Verrucariales"
"Acarosporales",0.621111111111111,NA,0.00777777777777778,NA,0.00333333333333333,0.00777777777777778,0.116666666666667,NA,NA,0.00333333333333333,0.106666666666667,NA,0.0477777777777778,NA,NA,0.0855555555555556
"Arthoniales",NA,0.938666666666667,NA,0.0106666666666667,NA,NA,NA,NA,NA,NA,NA,0.0506666666666667,NA,NA,NA,NA
"Baeomycetales",0.00833333333333333,NA,0.925,0.00166666666666667,0.000555555555555556,NA,0.0272222222222222,0.00333333333333333,NA,0.0116666666666667,0.00611111111111111,0.000555555555555556,0.000555555555555556,0.00944444444444444,NA,0.00555555555555556
"Candelariales",0.00111111111111111,0.00277777777777778,NA,0.953888888888889,NA,NA,NA,NA,NA,0.0133333333333333,0.0266666666666667,0.00222222222222222,NA,NA,NA,NA
"Lecanorales",0.0568224299065421,0.000654205607476636,0.0319626168224299,0.00682242990654206,0.771214953271028,0.00766355140186916,0.0211214953271028,0.000373831775700935,0.000654205607476636,0.0383177570093458,0.0104672897196262,0.0101869158878505,0.0391588785046729,0.000934579439252336,0.0011214953271028,0.00252336448598131
"Lecideales",0.01,NA,0.000769230769230769,NA,NA,0.979230769230769,0.00461538461538461,NA,NA,NA,0.00461538461538461,NA,0.000769230769230769,NA,NA,NA
"Lichinales",0.03,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostropales",NA,NA,NA,NA,NA,NA,NA,0.955384615384615,NA,NA,NA,0.0423076923076923,NA,0.00230769230769231,NA,NA
"Peltigerales",NA,NA,NA,NA,NA,NA,NA,NA,0.9975,NA,NA,NA,NA,NA,0.001,0.0015
"Pertusariales",0.00947368421052631,NA,NA,NA,NA,NA,0.0178947368421053,NA,NA,0.972631578947368,NA,NA,NA,NA,NA,NA
"Rhizocarpales",0.00125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99875,NA,NA,NA,NA,NA
"Strigulales",NA,NA,NA,0.000714285714285714,NA,NA,NA,0.00214285714285714,NA,NA,NA,0.985,NA,0.00428571428571429,NA,0.00785714285714286
"Teloschistales",0.00611111111111111,0.0025,0.00388888888888889,NA,0.00472222222222222,0.0230555555555556,NA,NA,NA,0.00138888888888889,0.035,NA,0.843611111111111,0.00444444444444444,NA,0.0752777777777778
"Trypetheliales",NA,NA,NA,NA,NA,NA,NA,0.00173913043478261,NA,NA,NA,NA,NA,0.998260869565217,NA,NA
"Umbilicariales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Verrucariales",0.0106666666666667,NA,NA,NA,NA,0.00733333333333333,0.02,NA,NA,NA,0.0106666666666667,NA,NA,NA,NA,0.951333333333333
