"","Acarospora_americana","Baeomyces_rufus","Caloplaca_flavovirescens","Candelaria_concolor","Chrysothrix_candelaris","Dimelaena_oreina","Ephebe_ocellata","Flavoparmelia_baltimorensis","Flavoparmelia_caperata","Flavoparmelia_euplecta","Flavoparmelia_haysomii","Flavoparmelia_rutidota","Flavoparmelia_soredians","Flavopunctelia_darrowii","Flavopunctelia_flaventior","Flavopunctelia_praesignis","Flavopunctelia_soredica","Graphis_scripta","Ionaspis_lacustris","Lecidea_tessellata","Loxospora_elatina","Neofuscelia_verruculifera","Peltigera_elisabethae","Pertusaria_ophthalmiza","Rhizocarpon_grande","Strigula_submuriformis","Trypethelium_virens","Umbilicaria_muehlenbergii","Verrucaria_fuscella","Xanthoparmelia_darrowii"
"Acarospora_americana",0.0211111111111111,0.0155555555555556,0.0488888888888889,NA,NA,0.151111111111111,0.315555555555556,NA,NA,NA,NA,0.0188888888888889,NA,NA,NA,0.05,NA,NA,0.0622222222222222,0.127777777777778,0.00111111111111111,NA,0.00333333333333333,0.00333333333333333,0.0355555555555556,0.00111111111111111,NA,NA,0.144444444444444,NA
"Baeomyces_rufus",0.00166666666666667,0.913888888888889,NA,NA,NA,NA,0.0327777777777778,NA,NA,NA,NA,NA,0.00166666666666667,NA,NA,NA,0.000555555555555556,NA,NA,0.000555555555555556,0.0444444444444444,NA,NA,0.00444444444444444,NA,NA,NA,NA,NA,NA
"Caloplaca_flavovirescens",NA,NA,0.787222222222222,NA,NA,NA,0.00333333333333333,NA,NA,NA,NA,NA,NA,0.0105555555555556,NA,NA,NA,NA,0.120555555555556,NA,0.0255555555555556,NA,NA,NA,NA,NA,NA,NA,0.0527777777777778,NA
"Candelaria_concolor",NA,NA,NA,0.88,0.02,NA,0.0111111111111111,NA,NA,NA,NA,0.0105555555555556,NA,NA,NA,NA,0.00666666666666667,0.00333333333333333,NA,NA,NA,NA,0.00388888888888889,0.00444444444444444,0.0116666666666667,0.0222222222222222,0.0261111111111111,NA,NA,NA
"Chrysothrix_candelaris",NA,NA,NA,0.00266666666666667,0.978666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186666666666667,NA,NA,NA,NA
"Dimelaena_oreina",NA,0.00888888888888889,NA,NA,NA,0.886666666666667,0.000555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00166666666666667,0.0611111111111111,NA,0.00388888888888889,NA,0.00388888888888889,0.0283333333333333,NA,NA,NA,0.005,NA
"Ephebe_ocellata",NA,NA,NA,NA,NA,NA,0.997142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00285714285714286,NA
"Flavoparmelia_baltimorensis",NA,NA,0.01,NA,NA,NA,0.038,0.76,0.172,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,0.014,NA,NA,NA,NA,NA,0.002,NA,NA
"Flavoparmelia_caperata",NA,0.000285714285714286,0.00657142857142857,NA,NA,NA,NA,0.154285714285714,0.439142857142857,0.00714285714285714,0.0262857142857143,0.044,0.0108571428571429,0.106857142857143,0.012,NA,0.0857142857142857,NA,NA,0.006,NA,0.00285714285714286,0.000571428571428571,0.000571428571428571,0.00114285714285714,NA,NA,0.04,NA,0.0557142857142857
"Flavoparmelia_euplecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
