"","Acarosporales","Arthoniales","Baeomycetales","Candelariales","Lecanorales","Lecideales","Lichinales","Ostropales","Peltigerales","Pertusariales","Rhizocarpales","Strigulales","Teloschistales","Trypetheliales","Umbilicariales","Verrucariales"
"Acarosporales",0.593333333333333,NA,0.00555555555555556,NA,0.00555555555555556,0.00222222222222222,0.125555555555556,0.00333333333333333,NA,0.0133333333333333,0.0955555555555556,0.00222222222222222,0.0788888888888889,NA,NA,0.0744444444444445
"Arthoniales",NA,0.933333333333333,NA,0.00933333333333333,NA,NA,NA,NA,NA,NA,NA,0.0573333333333333,NA,NA,NA,NA
"Baeomycetales",0.00722222222222222,NA,0.928333333333333,NA,0.00111111111111111,NA,0.0211111111111111,0.00222222222222222,NA,0.0161111111111111,0.00944444444444444,0.00166666666666667,0.00277777777777778,0.00333333333333333,NA,0.00666666666666667
"Candelariales",0.00111111111111111,0.000555555555555556,NA,0.967777777777778,NA,NA,NA,NA,NA,0.005,0.0244444444444444,0.00111111111111111,NA,NA,NA,NA
"Lecanorales",0.0592523364485981,0.000654205607476636,0.0213084112149533,0.00710280373831776,0.78981308411215,0.00626168224299065,0.0245794392523364,NA,0.000280373831775701,0.0369158878504673,0.00934579439252336,0.00719626168224299,0.0319626168224299,0.000467289719626168,0.000654205607476636,0.00420560747663551
"Lecideales",0.00538461538461539,NA,0.000769230769230769,NA,NA,0.984615384615385,0.00384615384615385,NA,NA,NA,0.00230769230769231,NA,0.00307692307692308,NA,NA,NA
"Lichinales",0.03,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostropales",NA,NA,NA,NA,NA,NA,NA,0.953846153846154,NA,NA,NA,0.0430769230769231,NA,0.00307692307692308,NA,NA
"Peltigerales",NA,NA,NA,NA,NA,NA,NA,NA,0.9985,NA,NA,NA,NA,NA,5e-04,0.001
"Pertusariales",0.00842105263157895,NA,NA,NA,0.00105263157894737,NA,0.0178947368421053,NA,NA,0.972105263157895,0.000526315789473684,NA,NA,NA,NA,NA
"Rhizocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99875,NA,NA,NA,NA,0.00125
"Strigulales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987857142857143,NA,0.00285714285714286,NA,0.00928571428571429
"Teloschistales",0.0116666666666667,0.00166666666666667,0.00416666666666667,NA,0.00722222222222222,0.0283333333333333,NA,0.00111111111111111,NA,0.00194444444444444,0.0297222222222222,NA,0.838333333333333,0.00194444444444444,NA,0.0738888888888889
"Trypetheliales",NA,NA,NA,NA,NA,NA,NA,0.000869565217391304,NA,NA,NA,0.00130434782608696,NA,0.997826086956522,NA,NA
"Umbilicariales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Verrucariales",0.00266666666666667,NA,NA,NA,NA,0.02,0.0173333333333333,NA,NA,NA,0.0166666666666667,NA,0.000666666666666667,NA,NA,0.942666666666667
