"","Acarosporaceae","Baeomycetaceae","Caliciaceae","Candelariaceae","Chrysotrichaceae","Graphidaceae","Hymeneliaceae","Lecideaceae","Lichinaceae","Parmeliaceae","Peltigeraceae","Rhizocarpaceae","Sarrameanaceae","Strigulaceae","Teloschistaceae","Trypetheliaceae","Umbilicariaceae","Variolariaceae","Verrucariaceae"
"Acarosporaceae",0.161111111111111,0,0.09,0,0,0,0.103333333333333,0.0566666666666667,0.105555555555556,0,0,0.101111111111111,0,0,0.0377777777777778,0,0,0.0111111111111111,0.0644444444444444
"Baeomycetaceae",0.0144444444444444,0.0833333333333333,0.00555555555555556,0,0,0.015,0.0516666666666667,0,0.0338888888888889,0,0,0.015,0.0533333333333333,0.00777777777777778,0.0194444444444444,0.0133333333333333,0,0.0227777777777778,0.0133333333333333
"Caliciaceae",0.0233333333333333,0,0.05,0,0,0,0.00944444444444444,0.0316666666666667,0,0,0,0.0305555555555556,0,0,0,0,0,0,0.0316666666666667
"Candelariaceae",0.00777777777777778,0,0,0.0455555555555556,0,0,0,0,0.00777777777777778,0,0,0.0305555555555556,0,0,0,0,0,0.0294444444444444,0
"Chrysotrichaceae",0,0,0,0.0213333333333333,0.0533333333333333,0,0,0,0,0,0,0,0,0.0486666666666667,0,0,0,0.00666666666666667,0
"Graphidaceae",0,0,0,0,0,0.0669230769230769,0,0,0,0,0,0,0,0.0669230769230769,0,0,0,0,0
"Hymeneliaceae",0.0653333333333333,0.028,0,0,0,0,0.096,0,0.0546666666666667,0.016,0,0.0533333333333333,0,0,0.028,0,0,0.0146666666666667,0.024
"Lecideaceae",0.0107692307692308,0,0,0,0,0,0,0.0284615384615385,0.0230769230769231,0,0,0.00769230769230769,0,0,0.0130769230769231,0,0,0,0
"Lichinaceae",0.0442857142857143,0,0,0,0,0,0,0,0.0442857142857143,0,0,0,0,0,0,0,0,0,0
"Parmeliaceae",0.00324324324324324,0,0.0027027027027027,0.00189189189189189,0,0.00391891891891892,0.00189189189189189,0,0.00135135135135135,0.00932432432432432,0.00135135135135135,0.00324324324324324,0.00418918918918919,0,0,0,0.00297297297297297,0.00351351351351351,0.00135135135135135
"Peltigeraceae",0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.005,0,0.005
"Rhizocarpaceae",0,0,0,0,0,0,0.035625,0,0,0,0,0.038125,0,0,0,0,0,0,0.00625
"Sarrameanaceae",0.035,0,0.015,0.010625,0.015,0,0.00625,0.01625,0.043125,0,0,0.01375,0.06625,0.01625,0.00875,0,0,0.031875,0.00875
"Strigulaceae",0,0,0.00714285714285714,0,0,0.00714285714285714,0,0,0,0,0,0,0,0.0364285714285714,0,0.0221428571428571,0,0,0.0314285714285714
"Teloschistaceae",0.0111111111111111,0,0,0,0,0,0.0755555555555556,0.0111111111111111,0,0,0,0.00777777777777778,0.00555555555555556,0,0.0922222222222222,0.00944444444444444,0,0,0.065
"Trypetheliaceae",0,0,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0.00434782608695652,0,0.00956521739130435,0,0,0
"Umbilicariaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Variolariaceae",0.0236842105263158,0,0,0,0,0,0,0.00526315789473684,0.0205263157894737,0,0,0.00526315789473684,0.00894736842105263,0.00526315789473684,0.0136842105263158,0,0,0.0326315789473684,0
"Verrucariaceae",0.026,0,0.0133333333333333,0,0,0.0113333333333333,0,0.02,0.0353333333333333,0,0,0.036,0,0,0.0113333333333333,0,0,0,0.0666666666666667
