"","Acarospora_americana","Baeomyces_rufus","Caloplaca_flavovirescens","Candelaria_concolor","Chrysothrix_candelaris","Dimelaena_oreina","Ephebe_ocellata","Flavoparmelia_baltimorensis","Flavoparmelia_caperata","Flavoparmelia_euplecta","Flavoparmelia_haysomii","Flavoparmelia_rutidota","Flavoparmelia_soredians","Flavopunctelia_darrowii","Flavopunctelia_flaventior","Flavopunctelia_praesignis","Flavopunctelia_soredica","Graphis_scripta","Ionaspis_lacustris","Lecidea_tessellata","Loxospora_elatina","Neofuscelia_verruculifera","Peltigera_elisabethae","Pertusaria_ophthalmiza","Rhizocarpon_grande","Strigula_submuriformis","Trypethelium_virens","Umbilicaria_muehlenbergii","Verrucaria_fuscella","Xanthoparmelia_darrowii"
"Acarospora_americana",0.0466666666666667,0.0444444444444444,0.0822222222222222,0,0,0.12,0.145555555555556,0,0,0,0,0.0477777777777778,0,0,0,0.0777777777777778,0,0,0.0855555555555556,0.0966666666666667,0.0111111111111111,0,0.0188888888888889,0.0188888888888889,0.0588888888888889,0.0111111111111111,0,0,0.118888888888889,0
"Baeomyces_rufus",0.00944444444444444,0.0572222222222222,0,0,0,0,0.0333333333333333,0,0,0,0,0,0.00944444444444444,0,0,0,0.00555555555555556,0,0,0.00555555555555556,0.0461111111111111,0,0,0.015,0,0,0,0,0,0
"Caloplaca_flavovirescens",0,0,0.111666666666667,0,0,0,0.0133333333333333,0,0,0,0,0,0,0.0244444444444444,0,0,0,0,0.1,0,0.04,0,0,0,0,0,0,0,0.0572222222222222,0
"Candelaria_concolor",0,0,0,0.0788888888888889,0.0338888888888889,0,0.0261111111111111,0,0,0,0,0.0255555555555556,0,0,0,0,0.0183333333333333,0.0133333333333333,0,0,0,0,0.0183333333333333,0.015,0.0311111111111111,0.0333333333333333,0.0355555555555556,0,0,0
"Chrysothrix_candelaris",0,0,0,0.0133333333333333,0.0326666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0
"Dimelaena_oreina",0,0.0205555555555556,0,0,0,0.0622222222222222,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.00944444444444444,0.0488888888888889,0,0.0144444444444444,0,0.0144444444444444,0.0338888888888889,0,0,0,0.0177777777777778,0
"Ephebe_ocellata",0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
"Flavoparmelia_baltimorensis",0,0,0.052,0,0,0,0.078,0.192,0.17,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0.066,0,0,0,0,0,0.02,0,0
"Flavoparmelia_caperata",0,0.00285714285714286,0.012,0,0,0,0,0.0788571428571428,0.0891428571428571,0.0154285714285714,0.0322857142857143,0.0351428571428571,0.0225714285714286,0.0517142857142857,0.0248571428571429,0,0.0462857142857143,0,0,0.0122857142857143,0,0.0131428571428571,0.004,0.004,0.00571428571428571,0,0,0.0274285714285714,0,0.0397142857142857
"Flavoparmelia_euplecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
