"","Acarosporales","Arthoniales","Baeomycetales","Candelariales","Lecanorales","Lecideales","Lichinales","Ostropales","Peltigerales","Pertusariales","Rhizocarpales","Strigulales","Teloschistales","Trypetheliales","Umbilicariales","Verrucariales"
"Acarosporales",0.183333333333333,0,0.0244444444444444,0,0.0244444444444444,0.0155555555555556,0.105555555555556,0.0188888888888889,0,0.0455555555555556,0.107777777777778,0.0155555555555556,0.0922222222222222,0,0,0.101111111111111
"Arthoniales",0,0.0653333333333333,0,0.0286666666666667,0,0,0,0,0,0,0,0.06,0,0,0,0
"Baeomycetales",0.0188888888888889,0,0.0561111111111111,0,0.00777777777777778,0,0.0377777777777778,0.0111111111111111,0,0.0311111111111111,0.0211111111111111,0.00944444444444444,0.0144444444444444,0.0133333333333333,0,0.0183333333333333
"Candelariales",0.00777777777777778,0.00555555555555556,0,0.0466666666666667,0,0,0,0,0,0.0177777777777778,0.0388888888888889,0.0111111111111111,0,0,0,0
"Lecanorales",0.0220560747663551,0.00242990654205607,0.015981308411215,0.00794392523364486,0.0345794392523364,0.00747663551401869,0.0166355140186916,0,0.00158878504672897,0.0189719626168224,0.00906542056074766,0.00850467289719626,0.018411214953271,0.00205607476635514,0.00242990654205607,0.00654205607476635
"Lecideales",0.02,0,0.00769230769230769,0,0,0.0307692307692308,0.0169230769230769,0,0,0,0.0130769230769231,0,0.0153846153846154,0,0,0
"Lichinales",0.0585714285714286,0,0,0,0,0,0.0585714285714286,0,0,0,0,0,0,0,0,0
"Ostropales",0,0,0,0,0,0,0,0.0569230769230769,0,0,0,0.0507692307692308,0,0.0307692307692308,0,0
"Peltigerales",0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0.005,0.007
"Pertusariales",0.0194736842105263,0,0,0,0.00736842105263158,0,0.0252631578947368,0,0,0.0310526315789474,0.00526315789473684,0,0,0,0,0
"Rhizocarpales",0,0,0,0,0,0,0,0,0,0,0.00875,0,0,0,0,0.00875
"Strigulales",0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0.0142857142857143,0,0.0264285714285714
"Teloschistales",0.0188888888888889,0.00666666666666667,0.0108333333333333,0,0.0127777777777778,0.0311111111111111,0,0.00555555555555556,0,0.00722222222222222,0.0302777777777778,0,0.065,0.00722222222222222,0,0.0436111111111111
"Trypetheliales",0,0,0,0,0,0,0,0.00608695652173913,0,0,0,0.00739130434782609,0,0.00956521739130435,0,0
"Umbilicariales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucariales",0.0133333333333333,0,0,0,0,0.0333333333333333,0.04,0,0,0,0.0386666666666667,0,0.00666666666666667,0,0,0.0673333333333333
