"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"98",98,"Flavoparmelia caperata",NA,"","","","",867615,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","82361","6/23/1999",1999,6,23,174,"23-Jun-99","on thuja","United States","Minnesota","Saint Louis","North of Pfeifer Lake; Superior National Forest",0,47.75666667,-92.46555556,"47°45'24""N, 92°27'56""W","6/2/2016 12:52",11,"urn:uuid:f81f65f4-5616-440e-8b04-4a7b0adb6b13","http://bellatlas.umn.edu/collections/individual/index.php?occid=737008","867615.1999","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"99",99,"Flavoparmelia caperata",NA,"","","","",900340,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Hansen, J.","s.n.","5/18/1909",1909,5,18,138,"18-May-09","on log","United States","Minnesota","Stearns","Collegeville",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:5ab0eb15-5393-4ea4-8171-9ae7b5fff03e","http://bellatlas.umn.edu/collections/individual/index.php?occid=760529","900340.1909","dark areas on lichen","okay","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"100",100,"Flavoparmelia caperata",NA,"","","","",877642,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","87918","6/13/2002",2002,6,13,164,"13-Jun-02","on thuja","United States","Minnesota","Saint Louis","3.5 Mi N of Kinney; Superior National Forest",0,47.56555556,-92.74972222,"47°33'56""N, 92°44'59""W","6/2/2016 12:52",11,"urn:uuid:0fb81f70-62c4-48de-b890-520cb7494ad5","http://bellatlas.umn.edu/collections/individual/index.php?occid=744719","877642.2002","dark spots on lichen show low reflectance %","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"101",101,"Flavoparmelia caperata",643297,"MIN","Lichens","PreservedSpecimen","urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4",22603,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Fink, B.","1059","7/31/1901",1901,7,31,212,"31-Jul-01","on rocks","United States","Minnesota","Koochiching","Koochiching",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:9485dbb4-d7a3-45a9-b62a-9487bde71bef","http://bellatlas.umn.edu/collections/individual/index.php?occid=630037","22603.1901","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"102",102,"Flavoparmelia caperata",NA,"","","","",863336,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Egan, R.","13207","5/19/1986",1986,5,19,139,"19-May-86","","United States","Minnesota","Cook","Between Schroeder And Tofte; Temperance River State Park",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:9a797b7b-2761-4cdc-953a-dc7a51828f48","http://bellatlas.umn.edu/collections/individual/index.php?occid=734666","863336.1986","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"103",103,"Flavoparmelia caperata",630090,"MIN","Lichens","PreservedSpecimen","urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e",22597,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Fink, B.","1510","8/16/1901",1901,8,16,228,"16-Aug-01","on cedars","United States","Minnesota","Saint Louis","Harding",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a","http://bellatlas.umn.edu/collections/individual/index.php?occid=630031","22597.1901","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"104",104,"Flavoparmelia caperata",632826,"MIN","Lichens","PreservedSpecimen","urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f",22598,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Fink, B.","524","7/11/1901",1901,7,11,192,"11-Jul-01","on trees","United States","Minnesota","Lake of the Woods","Oak Island",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8","http://bellatlas.umn.edu/collections/individual/index.php?occid=630032","22598.1901","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"105",105,"Flavoparmelia caperata",643387,"MIN","Lichens","PreservedSpecimen","urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230",22665,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Fink, B.","77","1896-07-03",1896,7,3,185,"03/Jul/1896","","United States","Minnesota","Hennepin","Neapolis",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e","http://bellatlas.umn.edu/collections/individual/index.php?occid=630090","22665.1896","small, dirt amongst samples","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"106",106,"Flavoparmelia caperata",NA,"","","","",900339,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Agnes, M.","5","1912-10-00",1912,10,0,NA,"00/Oct/1912","on wood","United States","Minnesota","Saint Louis","Duluth",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196","http://bellatlas.umn.edu/collections/individual/index.php?occid=760528","900339.1912","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"107",107,"Flavoparmelia caperata",645310,"MIN","Lichens","PreservedSpecimen","urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933",691785,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Hale, M.","22554","1963-07-00",1963,7,0,NA,"00/Jul/1963","on exposed birch trees","United States","Minnesota","Clearwater","Biological Station; Itasca State Park",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:0324c3b8-b14a-420d-9fc0-3ff7108a049a","http://bellatlas.umn.edu/collections/individual/index.php?occid=660759","691785.1963","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
