"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"271",271,"Trypethelium virens",NA,"","","","",837542,"","","","","","Wetmore, C.","18064","",1968,NA,NA,NA,"","on carpinus","","","","",NA,NA,NA,"","",NA,"","","837542.1968","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"272",272,"Trypethelium virens",NA,"","","","",777088,"","","","","","Sullivan, T.","3923","",1984,NA,NA,NA,"","on beech","","","","",NA,NA,NA,"","",NA,"","","777088.1984","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"273",273,"Trypethelium virens",NA,"","","","",940227,"","","","","","Copeland, J.","1242A","",1931,NA,NA,NA,"","on beech","","","","",NA,NA,NA,"","",NA,"","","940227.1931","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"274",274,"Trypethelium virens",NA,"","","","",779893,"","","","","","Wetmore, C.","29895","",1977,NA,NA,NA,"","on beech","","","","",NA,NA,NA,"","",NA,"","","779893.1977","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"275",275,"Trypethelium virens",NA,"","","","",777244,"","","","","","Wetmore, C.","46138","",1983,NA,NA,NA,"","on beech","","","","",NA,NA,NA,"","",NA,"","","777244.1983","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"276",276,"Trypethelium virens",NA,"","","","",837552,"","","","","","Wetmore, C.","12314","",1963,NA,NA,NA,"","on beech","","","","",NA,NA,NA,"","",NA,"","","837552.1963","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"277",277,"Trypethelium virens",NA,"","","","",823916,"","","","","","Wetmore, C.","72984","",1993,NA,NA,NA,"","on beech","","","","",NA,NA,NA,"","",NA,"","","823916.1993","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"278",278,"Trypethelium virens",NA,"","","","",804114,"","","","","","Wetmore, C.","64288","",1989,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","804114.1989","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"279",279,"Trypethelium virens",NA,"","","","",804112,"","","","","","Wetmore, C.","64292","",1989,NA,NA,NA,"","on oak","","","","",NA,NA,NA,"","",NA,"","","804112.1989","","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
"280",280,"Trypethelium virens",NA,"","","","",757172,"","","","","","Johnson, G.","6997","",1978,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","757172.1978","Possible low thallus reflectance due to substrate","","","","","Trypetheliaceae","Trypetheliales","Dothideomycetes","crustose","trentepohlia"
