,X.1,scientificName,id,institutionCode,collectionCode,basisOfRecord,occurrenceID,X,kingdom,phylum,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File.Name,Notes,Quality,Chemistry,Chemistry.Author,Source,Family,Order,Class,Morphology,Photobiont,name,spectra_ID
707588.1978_0000,1,Acarospora americana,NA,,,,,707588,,,,,,"Wetmore, C.",34130,,1978,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,707588.1978,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,707588.1978,707588.1978_0000
707588.1978_0001,1,Acarospora americana,NA,,,,,707588,,,,,,"Wetmore, C.",34130,,1978,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,707588.1978,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,707588.1978,707588.1978_0001
707588.1978_0002,1,Acarospora americana,NA,,,,,707588,,,,,,"Wetmore, C.",34130,,1978,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,707588.1978,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,707588.1978,707588.1978_0002
707588.1978_0003,1,Acarospora americana,NA,,,,,707588,,,,,,"Wetmore, C.",34130,,1978,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,707588.1978,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,707588.1978,707588.1978_0003
21483.1900_0000,2,Acarospora americana,NA,,,,,21483,,,,,,"Fink, B.",80,,1900,NA,NA,NA,,on exposed granitic rocks,,,,,NA,NA,NA,,,NA,,,21483.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21483.19,21483.1900_0000
21483.1900_0001,2,Acarospora americana,NA,,,,,21483,,,,,,"Fink, B.",80,,1900,NA,NA,NA,,on exposed granitic rocks,,,,,NA,NA,NA,,,NA,,,21483.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21483.19,21483.1900_0001
21483.1900_0002,2,Acarospora americana,NA,,,,,21483,,,,,,"Fink, B.",80,,1900,NA,NA,NA,,on exposed granitic rocks,,,,,NA,NA,NA,,,NA,,,21483.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21483.19,21483.1900_0002
21483.1900_0003,2,Acarospora americana,NA,,,,,21483,,,,,,"Fink, B.",80,,1900,NA,NA,NA,,on exposed granitic rocks,,,,,NA,NA,NA,,,NA,,,21483.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21483.19,21483.1900_0003
887334.2004_0000,3,Acarospora americana,NA,,,,,887334,,,,,,"Wetmore, C.",92592,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887334.2004,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,887334.2004,887334.2004_0000
887334.2004_0001,3,Acarospora americana,NA,,,,,887334,,,,,,"Wetmore, C.",92592,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887334.2004,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,887334.2004,887334.2004_0001
887334.2004_0002,3,Acarospora americana,NA,,,,,887334,,,,,,"Wetmore, C.",92592,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887334.2004,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,887334.2004,887334.2004_0002
887334.2004_0003,3,Acarospora americana,NA,,,,,887334,,,,,,"Wetmore, C.",92592,,2004,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,887334.2004,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,887334.2004,887334.2004_0003
879812.2002_0000,4,Acarospora americana,NA,,,,,879812,,,,,,"Wetmore, C.",88052,,2002,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,879812.2002,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,879812.2002,879812.2002_0000
879812.2002_0001,4,Acarospora americana,NA,,,,,879812,,,,,,"Wetmore, C.",88052,,2002,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,879812.2002,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,879812.2002,879812.2002_0001
879812.2002_0002,4,Acarospora americana,NA,,,,,879812,,,,,,"Wetmore, C.",88052,,2002,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,879812.2002,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,879812.2002,879812.2002_0002
879812.2002_0003,4,Acarospora americana,NA,,,,,879812,,,,,,"Wetmore, C.",88052,,2002,NA,NA,NA,,,,,,,NA,NA,NA,,,NA,,,879812.2002,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,879812.2002,879812.2002_0003
21286.1900_0000,6,Acarospora americana,NA,,,,,21286,,,,,,"Fink, B.",251,,1900,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,21286.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21286.19,21286.1900_0000
21286.1900_0001,6,Acarospora americana,NA,,,,,21286,,,,,,"Fink, B.",251,,1900,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,21286.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21286.19,21286.1900_0001
21286.1900_0002,6,Acarospora americana,NA,,,,,21286,,,,,,"Fink, B.",251,,1900,NA,NA,NA,,on rocks,,,,,NA,NA,NA,,,NA,,,21286.19,,good,,,,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid,21286.19,21286.1900_0002
