"","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"1","Acarospora americana",NA,"","","","",707588,"","","","","","Wetmore, C.","34130","",1978,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","707588.1978","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"2","Acarospora americana",NA,"","","","",21483,"","","","","","Fink, B.","80","",1900,NA,NA,NA,"","on exposed granitic rocks","","","","",NA,NA,NA,"","",NA,"","","21483.1900","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"3","Acarospora americana",NA,"","","","",887334,"","","","","","Wetmore, C.","92592","",2004,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","887334.2004","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"4","Acarospora americana",NA,"","","","",879812,"","","","","","Wetmore, C.","88052","",2002,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","879812.2002","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"5","Acarospora americana",NA,"","","","",654463,"","","","","","Wetmore, C.","23593","",1974,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","65463.1974","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"6","Acarospora americana",NA,"","","","",21286,"","","","","","Fink, B.","251","",1900,NA,NA,NA,"","on rocks","","","","",NA,NA,NA,"","",NA,"","","21286.1900","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"7","Acarospora americana",NA,"","","","",846958,"","","","","","Schuster, J.","2574","",1990,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","846958.1990","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"8","Acarospora americana",NA,"","","","",675773,"","","","","","Wetmore, C.","26247","",1976,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","675773.1976","","","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"9","Acarospora americana",NA,"","","","",889790,"","","","","","Reschke, C.","1186","",2001,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","889790.2001","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"10","Acarospora americana",NA,"","","","",721604,"","","","","","Wetmore, C.","42160","",1980,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","721604.1980","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"11","Acarospora americana",NA,"","","","",802685,"","","","","","Wetmore, C.","62608","",1988,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","80268.1988","","good","","","","Acarosporaceae","Acarosporales","Lecanoromycetes","crustose","chlorococcoid"
"12","Baeomyces rufus",NA,"","","","",785210,"","","","","","Wetmore, C.","57293","",1986,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","785210.1986","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"13","Baeomyces rufus",NA,"","","","",834457,"","","","","","Wetmore, C.","74196","",1994,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"14","Baeomyces rufus",NA,"","","","",887072,"","","","","","Wetmore, C.","94506","",2005,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","887072.2005","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"15","Baeomyces rufus",NA,"","","","",732935,"","","","","","Wetmore, C.","22793","",1974,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"16","Baeomyces rufus",NA,"","","","",854486,"","","","","","Wetmore, C.","22793","",1974,NA,NA,NA,"","on roadside bank","","","","",NA,NA,NA,"","",NA,"","","854486.1974","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"17","Baeomyces rufus",NA,"","","","",18891,"","","","","","Fink, B.","109","",1897,NA,NA,NA,"","on rocks","","","","",NA,NA,NA,"","",NA,"","","","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"18","Baeomyces rufus",NA,"","","","",873051,"","","","","","Wetmore, C.","87018","",2001,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","873051.2001","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"19","Baeomyces rufus",NA,"","","","",868966,"","","","","","Wetmore, C.","83722","",1999,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","868966.1999","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
"20","Baeomyces rufus",NA,"","","","",624348,"","","","","","Wetmore, C.","13454","",1965,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","","","","","","","Baeomycetaceae","Baeomycetales","Lecanoromycetes","crustose","chlorococcoid"
