id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
629993,MIN,Lichens,,PreservedSpecimen,7c254019-a59a-450b-8492-a5788b944a08,022555,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Fink, B.",,26,1900-06-19,1900,6,19,170,,19/Jun/1900,,,"on trees",,,,,,,,,,,,,,"United States",Minnesota,"Otter Tail",,"Battle Lake",,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:7c254019-a59a-450b-8492-a5788b944a08,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629993
629994,MIN,Lichens,,PreservedSpecimen,08358cd7-380a-4f3b-9a20-a5cb8ec74af9,022556,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Fink, B.",,659,1900-07-11,1900,7,11,192,,11/Jul/1900,,,"on pines, det hale",,,,,,,,,,,,,,"United States",Minnesota,Beltrami,,Bemidji,,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:08358cd7-380a-4f3b-9a20-a5cb8ec74af9,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629994
629995,MIN,Lichens,,PreservedSpecimen,c03c27f6-b01f-469a-b32c-af1d263a8dcf,022558,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Fink, B.",,527,1900-07-07,1900,7,7,188,,07/Jul/1900,,,"on tamarack",,,,,,,,,,,,,,"United States",Minnesota,Beltrami,,Bemidji,,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:c03c27f6-b01f-469a-b32c-af1d263a8dcf,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629995
629996,MIN,Lichens,,PreservedSpecimen,03025c51-f0a5-4f41-854f-94e9bcaa233a,022559,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Fink, B.",,195,1900-06-25,1900,6,25,176,,25/Jun/1900,,,"on tamarack",,,,,,,,,,,,,,"United States",Minnesota,"Otter Tail",,Henning,,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:03025c51-f0a5-4f41-854f-94e9bcaa233a,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629996
629997,MIN,Lichens,,PreservedSpecimen,dcec5d03-856c-4a42-9480-2a7d35bef246,022560,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Fink, B.",,898,1900-07-26,1900,7,26,207,,26/Jul/1900,,,"on trees, det hale",,,,,,,,,,,,,,"United States",Minnesota,Beltrami,,"Red Lake",,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:dcec5d03-856c-4a42-9480-2a7d35bef246,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629997
629998,MIN,Lichens,,PreservedSpecimen,77a85f13-c10f-4339-878a-199bd44ce774,022561,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Fink, B.",,832,1900-07-20,1900,7,20,201,,20/Jul/1900,,,"on trees, det hale",,,,,,,,,,,,,,"United States",Minnesota,Pennington,,"Thief River Falls",,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:77a85f13-c10f-4339-878a-199bd44ce774,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629998
629999,MIN,Lichens,,PreservedSpecimen,542c2812-73a5-471a-91d3-a97b814584d7,022562,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Fink, B.",,833,1900-07-20,1900,7,20,201,,20/Jul/1900,,,"on trees",,,,,,,,,,,,,,"United States",Minnesota,Pennington,,"Thief River Falls",,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:542c2812-73a5-471a-91d3-a97b814584d7,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=629999
630000,MIN,Lichens,,PreservedSpecimen,c551a9ac-c6b7-4d16-88a3-59cebdecb584,022563,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Fink, B.",,409,1900-07-02,1900,7,2,183,,02/Jul/1900,,,"on tamarack, det hale",,,,,,,,,,,,,,"United States",Minnesota,"Otter Tail",,Henning,,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:c551a9ac-c6b7-4d16-88a3-59cebdecb584,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=630000
630001,MIN,Lichens,,PreservedSpecimen,aa8dd740-385f-4056-b403-486412751fea,022564,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Fink, B.",,841,1900-07-20,1900,7,20,201,,20/Jul/1900,,,"on trees, det hale",,,,,,,,,,,,,,"United States",Minnesota,Pennington,,"Thief River Falls",,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:aa8dd740-385f-4056-b403-486412751fea,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=630001
630002,MIN,Lichens,,PreservedSpecimen,e45be4fa-9a61-4be0-84d0-fa0482211b2c,022565,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia baltimorensis",278874,"(Gyeln. & Fóriss) Hale",Flavoparmelia,baltimorensis,,,,,,,,,,"Fink, B.",,1033,1900-08-01,1900,8,1,213,,01/Aug/1900,,,"on rocks along lake, det hale",,,,,,,,,,,,,,"United States",Minnesota,Beltrami,,"Red Lake",,0,,,,,,,,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:e45be4fa-9a61-4be0-84d0-fa0482211b2c,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=630002
