"","Var1","Freq"
"1","Acarospora_americana",32
"2","Baeomyces_rufus",61
"3","Caloplaca_flavovirescens",60
"4","Candelaria_concolor",62
"5","Chrysothrix_candelaris",52
"6","Dimelaena_oreina",60
"7","Ephebe_ocellata",24
"8","Flavoparmelia_baltimorensis",17
"9","Flavoparmelia_caperata",119
"10","Flavoparmelia_euplecta",8
"11","Flavoparmelia_haysomii",20
"12","Flavoparmelia_rutidota",4
"13","Flavoparmelia_soredians",8
"14","Flavopunctelia_darrowii",4
"15","Flavopunctelia_flaventior",12
"16","Flavopunctelia_praesignis",21
"17","Flavopunctelia_soredica",16
"18","Graphis_scripta",44
"19","Ionaspis_lacustris",52
"20","Lecidea_tessellata",44
"21","Loxospora_elatina",56
"22","Neofuscelia_verruculifera",4
"23","Peltigera_elisabethae",68
"24","Pertusaria_ophthalmiza",64
"25","Rhizocarpon_grande",55
"26","Strigula_submuriformis",48
"27","Trypethelium_virens",79
"28","Umbilicaria_muehlenbergii",48
"29","Verrucaria_fuscella",51
"30","Xanthoparmelia_darrowii",16
