"","uniqueNames","l"
"1","Acarospora_americana","8"
"2","Baeomyces_rufus","15"
"3","Caloplaca_flavovirescens","15"
"4","Candelaria_concolor","16"
"5","Chrysothrix_candelaris","13"
"6","Dimelaena_oreina","15"
"7","Ephebe_ocellata","6"
"8","Flavoparmelia_baltimorensis","4"
"9","Flavoparmelia_caperata","28"
"10","Flavoparmelia_euplecta","2"
"11","Flavoparmelia_haysomii","5"
"12","Flavoparmelia_rutidota","1"
"13","Flavoparmelia_soredians","2"
"14","Flavopunctelia_darrowii","1"
"15","Flavopunctelia_flaventior","3"
"16","Flavopunctelia_praesignis","5"
"17","Flavopunctelia_soredica","4"
"18","Graphis_scripta","11"
"19","Ionaspis_lacustris","13"
"20","Lecidea_tessellata","11"
"21","Loxospora_elatina","14"
"22","Neofuscelia_verruculifera","1"
"23","Pertusaria_ophthalmiza","16"
"24","Rhizocarpon_grande","14"
"25","Strigula_submuriformis","12"
"26","Trypethelium_virens","20"
"27","Umbilicaria_muehlenbergii","12"
"28","Verrucaria_fuscella","13"
"29","Xanthoparmelia_darrowii","4"
"30","Peltigera_elisabethae","17"
