id,institutionCode,collectionCode,basisOfRecord,occurrenceID,  ,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File Name,Notes,Quality,Chemistry,Chemistry Author,Source,Chemistry Methods
,,,,,944691,,,,,,Verrucaria fuscella,,,,"Fink, B.",s.n.,,1895,,,,,,on calcareous rock,,,,,,,,,,,,,944691.1895,,,,,,
,,,,,944504,,,,,,Trypethelium virens,,,,"Plitt, C.",s.n.,,1911,,,,,,on ilex opaca,,,,,,,,,,,,,944504.1911,,,,,,
,,,,,944503,,,,,,Trypethelium virens,,,,"Bogue, E.",422,,1893,,,,,,on fagus ferruginea,,,,,,,,,,,,,944503.1893,"small thallus, may be substrate reflectance",,,,,
,,,,,941507,,,,,,Ionaspis lacustris,,,,"Wetmore, C.",82189,,1998,,,,,,,,,,,,,,,,,,,941507.1998,,,,,,
,,,,,941346,,,,,,Ionaspis lacustris,,,,"Schuster, J.",3357,,1996,,,,,,on rock,,,,,,,,,,,,,941346.1996,,,,,,
,,,,,941345,,,,,,Ionaspis lacustris,,,,"Schuster, J.",3372,,1996,,,,,,,,,,,,,,,,,,,941345.1996,,,,,,
,,,,,941341,,,,,,Ionaspis lacustris,,,,"Schuster, J.",727,,1983,,,,,,on rock,,,,,,,,,,,,,941341.1983,,,,,,
,,,,,941334,,,,,,Graphis scripta,,,,"Schuster, J.",3341,,1996,,,,,,on oak,,,,,,,,,,,,,941334.1996,,,,,,
,,,,,940758,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia rutidota,(Hook. f. & Taylor) Hale,Flavoparmelia,rutidota,"Egan, R.",18580,5/21/2007,2007,5,21,141,,21-May-07,on branches,Mexico,Nuevo Leon,,"Sierra Madre Oriental, km Post 49, 3 km Nw of Ituribe, Along Rte 58",0,24.741472,-99.930778,"24°44'29.3""N, 99°55'50.8""W",6/2/2016 12:52,11,urn:uuid:c5a67394-bf61-4af2-9149-d92faaf9957d,http://bellatlas.umn.edu/collections/individual/index.php?occid=771092,940758.2007,,good,"usnic, protocetraric acids, fatty acids",Sol. A,On archive,
,,,,,940227,,,,,,Trypethelium virens,,,,"Copeland, J.",1242A,,1931,,,,,,on beech,,,,,,,,,,,,,940227.1931,,,,,,
,,,,,934451,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia subcapitata,(Nyl. ex Hasse) Hale ex DePriest & B.W. Hale,Flavoparmelia,subcapitata,"Wetmore, C.",75999,1/5/1996,1996,1,5,5,,5-Jan-96,,Mexico,Baja California Norte,,"Ensenada, Punta Banda W of",0,31.74166667,-116.725,"31°44'30""N, 116°43'30""W",6/2/2016 12:52,11,urn:uuid:2365d212-4a84-429a-9164-aeb38cf668ee,http://bellatlas.umn.edu/collections/individual/index.php?occid=770230,934451.1996,,BAD,,,,
,,,,,934442,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia subcapitata,(Nyl. ex Hasse) Hale ex DePriest & B.W. Hale,Flavoparmelia,subcapitata,"Wetmore, C.",72354,2/23/1993,1993,2,23,54,,23-Feb-93,on cactus,Mexico,Baja California Norte,,"El Rosario, 6 km N of",0,30.11666667,-115.7666667,"30°07'N, 115°46'W",6/2/2016 12:52,11,urn:uuid:e8ecdfb5-484f-4c25-861b-f74b1647c226,http://bellatlas.umn.edu/collections/individual/index.php?occid=770221,934442.2012,,good,,,,
,,,,,934441,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia subcapitata,(Nyl. ex Hasse) Hale ex DePriest & B.W. Hale,Flavoparmelia,subcapitata,"Wetmore, C.",72319,2/23/1993,1993,2,23,54,,23-Feb-93,,Mexico,Baja California Norte,,"El Rosario Wash, 10 km S of Bridge Over",0,30.05,-115.5833333,"30°03'N, 115°35'W",6/2/2016 12:52,11,urn:uuid:0ea43a3f-27ad-48a9-8ebe-c0f9aeed6303,http://bellatlas.umn.edu/collections/individual/index.php?occid=770220,No Data ,,"Not Scanned, bad",,,,
,,,,,934437,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia subcapitata,(Nyl. ex Hasse) Hale ex DePriest & B.W. Hale,Flavoparmelia,subcapitata,"Wetmore, C.",63531,1/3/1989,1989,1,3,3,,3-Jan-89,,Mexico,Baja California,,"Colonet, 2 km S of",0,31.06666667,-116.2166667,"31°04'N, 116°13'W",6/2/2016 12:52,11,urn:uuid:9704602e-824b-4818-91e6-3a59e098cfff,http://bellatlas.umn.edu/collections/individual/index.php?occid=770216,934437.1989,,BAD,,,,
,,,,,934038,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia soredians,(Nyl.) Hale,Flavoparmelia,soredians,"Wetmore, C.",78225,10/23/1997,1997,10,23,296,,23-Oct-97,,Australia,Western Australia,,"Mt. Barker, 9 km E of",0,-34.645,117.7769444,"34°38'42""S, 117°46'37""E",6/2/2016 12:52,11,urn:uuid:812c4c8d-ea95-4bdd-ae5b-49c11cb92bdc,http://bellatlas.umn.edu/collections/individual/index.php?occid=770202,934038.1997,,good,,,,
,,,,,934014,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia soredians,(Nyl.) Hale,Flavoparmelia,soredians,"Wetmore, C.",78927,11/12/1997,1997,11,12,316,,12-Nov-97,,Australia,Victoria,,"Bairnsdale, 16 km W of",0,-37.87222222,147.4619444,"37°52'20""S, 147°27'43""E",6/2/2016 12:52,11,urn:uuid:c254252b-b239-4b60-9cb7-2d5898edac70,http://bellatlas.umn.edu/collections/individual/index.php?occid=770178,934014.1997,,good,,,,
,,,,,933970,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",100550,7/13/2012,2012,7,13,195,,13-Jul-12,on log,United States,Minnesota,Cook,"Mt Rose, N Side of; Grand Portage National Monument",0,47.96277778,-89.68861111,"47°57'46""N, 89°41'19""W",6/2/2016 12:52,11,urn:uuid:d1294a91-81e4-452e-8980-df5b4e4d671e,http://bellatlas.umn.edu/collections/individual/index.php?occid=770134,933970.2012,,good,,,,
,,,,,933105,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",100411,8/18/2010,2010,8,18,230,,18-Aug-10,on balsam fir,United States,Minnesota,Cook,"Pigeon River, Ne of Grand Portage",0,47.99333333,-89.57277778,"47°59'36""N, 89°34'22""W",6/2/2016 12:52,11,urn:uuid:98e46500-7488-4c43-a6bf-36d8cdc4f09e,http://bellatlas.umn.edu/collections/individual/index.php?occid=769856,933105.2010,,good,,,,
,,,,,933084,,,,,,Loxospora elatina,,,,"Wetmore, C.",100433,,2010,,,,,,on balsam fir,,,,,,,,,,,,,933084.2010,,,,,,
,,,,,933077,,,,,,Loxospora elatina,,,,"Wetmore, C.",100441,,2010,,,,,,on white birch,,,,,,,,,,,,,933077.2010,,,,,,
,,,,,932520,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",20534,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,932501,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",41893,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,932490,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",68106,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,931324,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",99961,,2010,,,,,,,,,,,,,,,,,,,931324.2010,,good,,,,
,,,,,931260,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",100055,,2010,,,,,,,,,,,,,,,,,,,931260.2010,,good,,,,
,,,,,930776,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",26267,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,930553,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",18630,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,924218,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",18538,,1969,,,,,,on balsam fir,,,,,,,,,,,,,924218.1969,,,,,,
,,,,,924087,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",64189,,1989,,,,,,on black spruce,,,,,,,,,,,,,924087.1989,,,,,,
,,,,,924030,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",76980,,1996,,,,,,on balsam fir,,,,,,,,,,,,,924030.1996,,,,,,
,,,,,918402,,,,,,Lecidea tessellata,,,,"Schuster, J.P.",104A,,1982,,,,,,lava flow,,,,,,,,,,,,,,,,,,,
,,,,,917363,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",98863,8/26/2009,2009,8,26,238,,26-Aug-09,,United States,Minnesota,Cook,Se Facing Cliffs At South Fowl Lake,0,48.04138889,-90.01472222,"48°02'29""N, 90°00'53""W",6/2/2016 12:52,11,urn:uuid:318445ff-1540-4b60-8a02-705ebfcc7c71,http://bellatlas.umn.edu/collections/individual/index.php?occid=765966,917363.2009,,good,,,,
,,,,,917362,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",98864,,2009,,,,,,,,,,,,,,,,,,,917362.2009,,,,,,
,,,,,916229,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",98139,,2009,,,,,,on balsam fir,,,,,,,,,,,,,916229.2009,,,,,,
,,,,,909332,,,,,,Loxospora elatina,,,,"Wetmore, C.",90159,,2003,,,,,,on thuja,,,,,,,,,,,,,909332.2003,,,,,,
,,,,,908288,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia soredica,(Nyl.) Hale,Flavopunctelia,soredica,"Wetmore, C.",97429,8/12/2008,2008,8,12,225,,12-Aug-08,on fallen balsam fir,United States,Minnesota,Cook,Mt. Josephine Ne of Grand Portage,0,47.98305556,-89.65972222,"47°58'59""N, 89°39'35""W",6/2/2016 12:52,11,urn:uuid:37608a7f-26bb-4a79-8f7e-fbaa5ff17310,http://bellatlas.umn.edu/collections/individual/index.php?occid=763872,908288.2008,,good,,,,
