Species,Family,Order,Class,Morphology,Photobiont
Acarospora americana,Acarosporaceae,Acarosporales,Lecanoromycetes,crustose,chlorococcoid
Baeomyces rufus,Baeomycetaceae,Baeomycetales,Lecanoromycetes,crustose,chlorococcoid
Caloplaca flavovirescens,Teloschistaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid
Candelaria concolor,Candelariaceae,Candelariales,Candelariomycetes,foliose,chlorococcoid
Chysothrix candelaris,Chrysotrichaceae,Arthoniales,Arthoniomycetes,crustose,chlorococcoid
Dimelaena oreina,Caliciaceae,Teloschistales,Lecanoromycetes,crustose,chlorococcoid
Ephebe ocellata,Lichinaceae,Lichinales,Lichinomycetes,fruticose,filimentous cyanobacteria
Flavoparmelia baltimorensis,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavoparmelia caperata,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavoparmelia euplecta,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavoparmelia haysomii,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavoparmelia rutidota,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavoparmelia soredians,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavoparmelia subcapitata,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavopunctelia darrowi,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavopunctelia flaventior,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavopunctelia praesignis,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Flavopunctelia soredica,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Graphis scripta,Graphidaceae,Ostropales,Lecanoromycetes,crustose,trentepohlia
Ionaspis lacustris,Hymeneliaceae,Lecanorales,Lecanoromycetes,crustose,chlorococcoid
Lecidea tessellata,Lecideaceae,Lecideales,Lecanoromycetes,crustose,chlorococcoid
Loxospora elatina,Sarrameanaceae,Lecanorales,Lecanoromycetes,crustose,chlorococcoid
Neofuscelia verruculifera,Parmeliaceae,Lecanorales,Lecanoromycetes,foliose,chlorococcoid
Peltigera elisabethae,Peltigeraceae,Peltigerales,Lecanoromycetes,foliose,cyanobacteria
Pertusaria ophthalmiza,Variolariaceae,Pertusariales,Lecanoromycetes,crustose,chlorococcoid
Rhizocarpon grande,Rhizocarpaceae,Rhizocarpales,Lecanoromycetes,crustose,chlorococcoid
Strigula submuriformis,Strigulaceae,Strigulales,Dothideomycetes,crustose,trentepohlia
Trypethelium virens,Trypetheliaceae,Trypetheliales,Dothideomycetes,crustose,trentepohlia
Umbilicaria muehlenbergii,Umbilicariaceae,Umbilicariales,Lecanoromycetes,foliose,chlorococcoid
Verrucaria fuscella,Verrucariaceae,Verrucariales,Chaetothyriomycetes,crustose,chlorococcoid
Xanthoparmelia darrowii,Parmeliaceae,Lecanorales,Lecanoromycetes,Foliose,chlorococcoid
